sfp_step1,sfp_step2,AcpS_step1,Acps_step2
1381.772,1358.189,1476.916,1400.135
1876.856,1837.59,1914.143,1788.151
1322.648,1306.532,1443.282,1381.33
1442.908,1402.543,1547.787,1451.933
1302.845,1265.42,1410.603,1397.95
1522.981,1462.537,1453.967,1478.051
1510.594,1448.688,1298.497,1356.074
2660.445,2607.444,2743.004,2950.894
1332.743,1282.37,885.093,1302.825
1960.57,1915.498,1197.331,1838.669
1244.071,1200.737,964.82,1376.814
1327.936,1311.441,1053.905,1380.787
1534.826,1499.394,1025.824,1378.26
1397.039,1323.219,1023.672,1289.961
1402.949,1324.151,1084.156,1234.175
1531.842,1462.877,1137.893,1191.357
2149.719,2040.729,2056.296,2020.887
1691.106,1610.546,1648.865,1543.095
1310.876,1260.74,1339.519,1284.988
1307.803,1247.379,1233.426,1154.525
1385.652,1332.625,1344.941,1265.319
1948.266,1815.414,1756.504,1621.44
1296.031,1229.576,1424.131,1361.629
3341.451,3177.282,3609.665,3442.247
2221.876,2173.025,2612.561,2568.877
1335.155,1270.132,1390.11,1349.69
1411.648,1329.782,1487.174,1433.579
3124.384,3046.16,3080.46,3003.319
1767.805,1718.56,1599.543,1472.881
1495.248,1390.396,1553.303,1486.623
3543.039,3624.343,3234.366,3241.065
1844.91,1772.046,2092.162,1476.905
1447.56,1391.582,1558.388,1463.442
1598.661,1555.811,1547.166,1520.091
1470.185,1436.89,1380.911,1402.954
1250.607,1200.565,1232.407,1281.778
1495.202,1464.049,1218.726,1355.225
1769.589,1732.652,1165.141,1477.317
1877.503,1896.783,906.955,1381.137
1281.189,1242.581,823.961,1227.67
1941.566,1929.822,930.034,1345.318
1229.397,1263.451,1090.273,1354.915
2222.378,2152.764,1616.346,2066.965
1330.623,1256.025,963.258,1161.768
1601.813,1501.379,1333.435,1466.582
1326.587,1257.94,1237.52,1242.685
1323.944,1268.078,1312.325,1286.431
1321.062,1237.544,1332.416,1242.496
1468.691,1398.585,1492.469,1418.094
1550.84,1481.254,1499.279,1401.171
1881.967,1803.583,1619.618,1492.211
2679.603,2515.662,2864.789,2728.128
2219.783,2137.456,2335.754,2205.906
2227.121,2034.647,2547.813,2166.963
1309.807,1259.734,1526.611,1451.824
1432.412,1396.907,1591.014,1546.236
1709.424,1662.179,1671.426,1624.35
1680.42,1614.799,1806.904,1709.46
1260.227,1221.212,1539.608,1480.915
1265.349,1185.538,1225.774,1140.174
2718.786,2608.815,2594.271,2523.17
1311.122,1260.654,1527.756,1480.478
2504.244,2415.707,2203.577,2187.232
1509.444,1434.272,1464.638,1488.906
2621.644,2517.64,2657.5,2915.545
2373.255,2218.335,1873.023,2043.562
1374.468,1322.19,1071.909,1302.865
1464.195,1408.722,1103.549,1442.413
1756.809,1697.733,1039.156,1565.444
1285.295,1246.67,803.02,1210.346
1296.579,1253.951,821.638,1189.823
1763.091,1807.296,1117.485,1303.394
1366.145,1307.794,1062.333,1278.315
1568.837,1467.246,1243.912,1494.761
1604.327,1533.141,1234.077,1344.406
1324.41,1267.766,1272.919,1321.408
1317.47,1234.831,1270.461,1221.643
1449.924,1400.137,1481.43,1354.945
2844.276,2714.338,2527.271,2308.943
1406.439,1350.955,1374.861,1287.214
1533.584,1474.126,1537.368,1437.262
1869.746,1819.391,1699.073,1589.03
1421.964,1375.183,1520.636,1407.921
1436.375,1383.695,1507.221,1439.166
1286.585,1246.485,1421.261,1378.11
1738.535,1696.01,1585.427,1536.036
1216.954,1190.613,1381.309,1332.002
1284.964,1241.576,1500.21,1428.535
1217.033,1156.608,1498.744,1430.311
2192.733,2112.988,3068.729,2952.501
2118.598,2094.847,1556.708,1488.895
1989.435,1831.562,2121.129,2048.655
1568.499,1514.603,1443.218,1491.555
1567.887,1483.116,1349.048,1506.351
1685.994,1627.555,1445.739,1760.781
1351.508,1292.177,1091.096,1343.244
1525.887,1461.696,1103.3,1428.656
1331.55,1296.122,866.873,1196.457
1549.18,1497.304,984.649,1446.561
1238.731,1201.705,775.61,1181.529
1183.673,1146.846,728.034,1102.934
1852.045,1731.092,1487.003,1621.895
1454.03,1336.974,1166.041,1290.199
1405.573,1280.123,1078.171,1235.806
1982.96,1861.117,1983.668,2237.44
1278.868,1221.788,1240.974,1275.169
1676.979,1635.699,1454.131,1436.315
2090.34,2027.049,2275.433,2192.743
1359.662,1306.295,1260.727,1203.656
2121.029,1985.014,2581.085,2388.213
2177.132,2074.129,2312.69,2215.898
1670.104,1545.312,1978.266,1787.651
1332.583,1294.28,1499.662,1424.095
1367.042,1328.8,1459.567,1415.033
2207.47,2098.504,2337.29,2249.394
1964.696,1894.056,1995.657,1973.072
1394.645,1344.834,1506.298,1475.364
1334.423,1295.942,1344.774,1288.581
1370.692,1321.135,1625.262,1588.739
1168.49,1134.43,1125.64,1139.877
1246.064,1211.211,1229.416,1252.01
1889.892,1876.466,1482.563,1631.799
1395.031,1351.269,1094.553,1301.846
1376.543,1338.041,1047.019,1357.285
1460.718,1395.968,982.462,1294.137
2897.82,2797.763,2008.129,2748.773
1411.381,1353.617,962.341,1340.239
1389.638,1326.105,896.591,1293.968
2211.711,1951.457,1448.546,1870.358
1619.784,1513.04,1190.162,1616.507
1957.449,1900.651,1366.534,1988.211
2074.521,1990.563,1496.183,1582.239
1352.798,1283.568,1141.269,1176.944
1372.04,1297.425,1240.341,1342.328
1409.653,1289.061,1261.73,1329.737
3631.06,3550.647,3133.99,2883.206
1565.212,1521.404,1470.768,1461.747
1247.125,1195.457,1259.044,1173.312
1485.654,1448.385,1415.521,1355.3
1275.427,1239.983,1189.351,1136.818
1960.291,1904.712,2269.418,2179.094
1426.294,1381.491,1648.317,1597.338
1424.06,1381.309,1382.195,1341.773
1396.677,1340.258,1361.453,1294.456
1381.561,1348.93,1394.702,1383.384
1566.51,1519.187,1442.797,1418.935
1328.54,1289.38,1438.02,1418.038
1452.185,1403.683,1447.072,1493.562
1303.311,1271.75,1377.851,1442.249
2155.282,2072.88,1920.457,2038.299
1612.208,1548.47,1300.479,1427.982
1470.225,1422.435,1242.766,1457.767
1396.868,1339.531,1034.518,1311.223
1335.707,1280.244,1020.148,1282.371
1443.223,1415.84,952.726,1279.186
1611.88,1550.048,1096.373,1450.66
1500.657,1437.171,1138.109,1531.152
2307.727,2120.278,1413.254,1835.715
1541.92,1480.829,1147.367,1524.671
1300.845,1264.558,957.165,1248.559
1192.914,1170.636,833.908,1121.083
