x,y
-0.84461665,5.776833
-3.093245,5.71283
-3.3294902,6.384517
-3.245319,17.774534
1.618079,-18.816166
23.918663,-9.231322
-2.0277693,-18.161142
15.408531,-24.226957
8.600966,-19.82916
24.16319,-5.26203
8.118655,-21.73844
24.687876,-5.752562
0.2613771,-17.831177
20.715212,-4.74149
13.737697,-15.4479475
23.907612,-9.280003
1.732014,-16.535435
22.534601,-3.9838357
9.081221,-11.508845
25.23487,-3.6311238
13.17006,-17.273405
14.189937,-25.800776
4.7054048,-8.853624
13.773164,-25.802734
3.790147,-16.623627
23.125605,4.663806
-1.4567357,-15.773547
22.737934,1.584412
3.7817383,-15.838896
14.330372,-25.94671
11.235196,-13.995565
24.3,-5.2326207
9.123949,-13.54822
24.071163,-5.775787
9.941954,-11.582204
18.044674,-1.785199
8.622247,-19.335993
21.75304,1.9438453
-16.168343,-2.4828978
23.279669,-1.9992002
10.113182,-17.906868
17.569036,1.4623305
0.3718544,-15.176849
14.18169,-25.740103
2.8081913,-16.677937
26.334053,-4.2015233
3.0109859,-19.811113
14.279451,-26.286314
11.330828,-13.207436
25.915369,-4.5106435
-16.479109,-1.5062262
25.854683,3.2356143
3.6112392,-22.00333
19.922403,-9.131839
4.4425693,-10.109443
25.291655,-3.7664125
0.89043176,-11.709653
15.676444,-24.887152
4.6085067,-13.310236
16.453838,3.2897573
1.622412,-12.186632
23.687645,6.170645
3.1590593,-12.290301
21.868135,3.79842
-2.713148,-18.72369
21.974146,3.5834792
9.113107,-9.934044
22.752878,1.6322736
3.0867677,-6.8261905
23.02169,-4.3010564
-0.16526392,-19.25789
25.238827,-4.2595305
9.107169,-11.909308
23.192493,4.6164203
-16.465273,-1.5480403
12.87147,-24.77035
-16.132824,-2.5736866
15.730794,-25.337675
7.3340197,-14.674409
19.879614,1.375809
4.3070674,-18.246685
24.123623,-5.3154917
4.148617,-12.839761
21.61279,4.1730976
2.2412558,-15.3158865
27.258806,-0.999445
1.938243,-8.549537
21.05006,2.0009015
-16.170536,-2.468348
17.093952,5.182329
1.0122162,-22.598001
23.477795,-1.9677416
-6.820628,-12.385041
21.68992,-2.0505233
2.9721751,-18.29252
20.995604,1.0009005
1.3080999,-19.086054
18.93664,2.181178
10.030558,-15.621454
20.791939,1.0912861
10.185337,-11.226943
19.963085,-2.1385164
9.764108,-10.317095
20.478592,0.8116421
11.222527,-14.924634
20.270891,2.201605
9.86007,-13.095535
25.84861,-0.3705961
8.117437,-11.043872
20.273237,2.210242
8.419096,-21.745445
25.3321,-2.8381531
-16.124613,-2.6069481
15.49054,-24.190502
6.9259615,-19.069284
22.777508,2.2218006
3.9387813,-11.834442
20.44837,3.2990599
5.118275,-8.098492
18.894426,-3.027666
